Name,Recurrence Pattern Unit,Recurrence Pattern Value,Start Hour
EBS Sensor: FIN AR Discrepancy in Revenue Recognition Duration for a Credit Memo - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Assignment Set as Primary but End Dated - Weekly,WEEK,SAT,1
EBS Sensor: HCM PAY UK Legislation Wrong payroll date - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Historical upgraded Invoice events found to be missing records in XLA Distribution Links - Weekly,WEEK,SAT,1
EBS Sensor: MFG PM Costing Periods with no Matching Inventory Period - Monthly,MONTH,1,12
EBS Sensor: MFG PM Invalid OPM Financials related objects - Monthly,MONTH,1,12
EBS Sensor: FIN PA Expenditures Which Have Been Converted To Asset Line Details But Not To Asset Lines - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA Expenditure Item cost burden distributed flag is disabled but Burden Distributions Generated - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL Journal Batches Stuck In Process during Approval - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA Distribute Costs Error Unable to create cost distribution lines - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL Journal Import Ends With Error EC03 While Running Consolidation - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA Transactions causing duplicate actuals in Projects from PO Receipts - Weekly,WEEK,SAT,1
EBS Sensor: MFG INV Item orphan records in MTL PENDING ITEM STATUS table but not in MTL SYSTEM ITEMS B - Monthly,MONTH,1,12
EBS Sensor: MFG DM Pending or Error Move Transactions - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Sales Order LInes Shipped but not Inventory Interfaced - Weekly,WEEK,SAT,1
EBS Sensor: MFG PO Items from GBPA or BPA not translated in iProcurement - Weekly,WEEK,SAT,1
EBS Sensor: FIN AR Transaction missing Payment Schedules records - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA The assets costs are not interfacing to FA - Weekly,WEEK,SAT,1
EBS Sensor: ATG WF Notification Emails are not Getting Sent and Mailer Log Shows ORA 24010 - Daily,DAY,1,12
EBS Sensor: MFG DM Create Accounting Cost management UnProcessed Event transactions in XLA Events - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Duplicate external Payee in Iby External Payees All - Weekly,WEEK,SAT,1
EBS Sensor: MFG INV Errors are present in the Material Transactions Temp table - Monthly,MONTH,25,1
EBS Sensor: FIN GL The posted status for journal lines do not match header - Weekly,WEEK,SAT,1
EBS Sensor: MFG INV Serial Numbers exist with Trailing or Leading Spaces - Monthly,MONTH,1,12
EBS Sensor: FIN AR Adjustment Events in error GL Period not open - Weekly,WEEK,SUN,12
EBS Sensor: MFG PO Oracle Text Intermedia search index is out of sync for some items in iProcurement Catalog - Weekly,WEEK,SAT,1
EBS Sensor: FIN FCA Missing VAT Driving Date in EMEA VAT Setup - Weekly,WEEK,SAT,1
EBS Sensor: MFG VCP MSCNEW MSCONEW Failing with Signal xx or APP MRP 22064 errors or Plan Output incorrect - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL Latest open period in GL LEDGERS is incorrect - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL Journal Import Ends With Error EM01 Invalid journal entry category - Monthly,MONTH,LAST,1
EBS Sensor: MFG INV Item orphan records are present in the MTL ITEM CATEGORIES table - Monthly,MONTH,1,12
EBS Sensor: FIN PA Project asset costs not interfacing to FA - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Legal Account Name greater than 30 characters long - Weekly,WEEK,SAT,1
EBS Sensor: MFG INV Item orphan records exist in MTL ITEM REVISIONS B table but not in MTL SYSTEM ITEMS B - Monthly,MONTH,1,12
EBS Sensor: FIN AR Multiple Active Person Profile - Weekly,WEEK,SAT,1
EBS Sensor: ATG CT Concurrent Requests Fail With Error ORA 20100 - Weekly,WEEK,SAT,1
EBS Sensor: FIN AR Receipt events in error invalid account - Weekly,WEEK,SUN,12
EBS Sensor: MFG PO Missing Accounting in RCV RECEIVING SUB LEDGER and View Receiving Accounting Form - Weekly,WEEK,FRI:SAT,1
EBS Sensor: MFG PO Found receiving transaction finally accounted but not transferred to General Ledger - Monthly,MONTH,LAST,1
EBS Sensor: FIN GL Journal Import Ends With Error EM22 - Monthly,MONTH,LAST,1
EBS Sensor: MFG PO Purchase Orders with invalid encumbrance amount - Weekly,WEEK,SAT,1
EBS Sensor: MFG DM Create Accounting Cost management Invalid Event transactions in XLA Events - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA Missing or Extra Credit or Debit Burden Distributions Exist for Expenditure Items - Weekly,WEEK,SAT,1
EBS Sensor: HCM HR Invalid supervisor for employees - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL Journal Import Ends With Error EF01 - Monthly,MONTH,LAST,1
EBS Sensor: MFG PO Found invalid or draft encumbrance events for Purchase Documents - Monthly,MONTH,LAST,1
EBS Sensor: FIN AP Incorrect manual payment adjustment events - Weekly,WEEK,SAT,12
EBS Sensor: MFG PO Found invalid receiving events for the last 30 days - Monthly,MONTH,LAST,1
EBS Sensor: FIN AR Adjustments with Null EVENT ID - Weekly,WEEK,SAT,1
EBS Sensor: FIN FCA The VAT Registration Number is not populated in Customer Sites - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL GL INTERFACE Rows with Status PROCESSED Remain in the Table - Weekly,WEEK,SAT,1
EBS Sensor: ATG CT Purge FND AQ Tables to avoid Concurrent Manager Request performance issue - Monthly,MONTH,1,12
EBS Sensor: ATG CT There are more than 500k records in the FND LOG MESSAGES table - Weekly,WEEK,SAT,12
EBS Sensor: ATG CT OPP Fails To Pick Up Concurrent Request With Error Unable to find an Output Post Processor - Weekly,WEEK,SAT,12
EBS Sensor: FIN GL Error 12 During Funds Checking or Posting of Payables Journals - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL GL Reconciliation Unbalanced Accounted Amounts - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA Draft Invoices Stuck in Interface table - Weekly,WEEK,SAT,1
EBS Sensor: FIN AR Unbalanced Distributions for CM Application - Weekly,WEEK,SAT,1
EBS Sensor: FIN FCA Missing Legal Reporting Status setup - Weekly,WEEK,SAT,1
EBS Sensor: MFG INV Pick Release Process Completes In Warning No Sales Order Id Found in MTL SALES ORDERS - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Transactions fail to account in the secondary ledger - Weekly,WEEK,SAT,12
EBS Sensor: FIN PA Data corruption in PA Expenditure Items All - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA Total Burden Distributions Generated For Project Types Without Total Burden Costing Enabled - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA Tasks missing in work plan tables for fully shared work plan versioning enabled projects - Weekly,WEEK,SAT,1
EBS Sensor: FIN AR Receipt Events in error GL Period not open - Weekly,WEEK,SUN,12
EBS Sensor: FIN GL Journal Entry Stuck In Process during Funds Reservation - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA Negative Line of The Recalculated Expenditure is Not Appearing In View Accounting - Weekly,WEEK,SAT,12
EBS Sensor: FIN PA CDL lines rejected in Accounting with Original transaction not accounted error - Weekly,WEEK,SAT,1
EBS Sensor: ATG WF There are no Purge Obsolete Workflow Runtime Data Program Scheduled to Run - Weekly,WEEK,SAT,12
EBS Sensor: FIN GL GL balances corruptions - Weekly,WEEK,SAT,1
EBS Sensor: HCM PAY UK Legislation XML sender is not set - Weekly,WEEK,SAT,1
EBS Sensor: HCM PAY Invalid Balance Attributes - Monthly,MONTH,LAST,12
EBS Sensor: FIN PA create Accounting Fails for Revenue Category - Weekly,WEEK,TUE,12
EBS Sensor: FIN PA Task data corrupted in Workplan tables WBS level outline number and parent child relations - Weekly,WEEK,SAT,1
EBS Sensor: FIN PA Asset Lines Have Transferred Status But Are Missing In FA - Weekly,WEEK,SAT,1
EBS Sensor: MFG PO Items from Master Items not translated - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL FAHRCS Segment Value Descriptions with Special Characters - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL Transfer Journals to this Secondary Ledger set to Yes for Sub Ledger Level Secondary Ledger - Weekly,WEEK,SAT,1
EBS Sensor: FIN AR Mismatched Tax Amounts - Weekly,WEEK,SAT,1
EBS Sensor: MFG PO Found encumbrance accounting entries not transferred to General Ledger - Monthly,MONTH,LAST,1
